,time,total_time,Ewe,I,freq,Ewe_mod,I_mod,phase_Zwe,Ece_mod,Ice_mod,phase_Zce,Ece,I_range
0,1.0000080353711382,1.0000080353711382,0.10018766671419144,-0.00041299356962554157,,,,,,,,,
1,2.0000160707422765,2.0000160707422765,0.0993475690484047,-0.00037111161509528756,,,,,,,,,
2,,4.14300012588501,0.09968393296003342,-0.0003156751045025885,100015.6171875,0.00879721250385046,0.0018425658345222473,0.010806421749293804,0.01156433392316103,0.0018425810849294066,0.0003874699177686125,1.7394659519195557,-0.0003156751045025885
3,,4.686999797821045,0.09971078485250473,-0.0003126931842416525,88999.9921875,0.009186293929815292,0.001943383365869522,0.017547527328133583,0.012250346131622791,0.001943395473062992,-0.030287258327007294,1.7399234771728516,-0.0003126931842416525
4,,5.230999946594238,0.09970121830701828,-0.00030409242026507854,78015.6171875,0.009566981345415115,0.0020685826893895864,0.011272668838500977,0.013102524913847446,0.002068594563752413,-0.06366642564535141,1.7395130395889282,-0.00030409242026507854
5,,5.775000095367432,0.09968863427639008,-0.0002907455782406032,66999.9921875,0.008998047560453415,0.0019710580818355083,0.003146327333524823,0.012594939209520817,0.0019710685592144728,-0.09972557425498962,1.7394624948501587,-0.0002907455782406032
6,,6.319000244140625,0.09970023483037949,-0.000292787590296939,56015.62109375,0.009156260639429092,0.002019885927438736,-0.019538596272468567,0.013111249543726444,0.002019893378019333,-0.14074866473674774,1.738709807395935,-0.000292787590296939
7,,6.86299991607666,0.09970532357692719,-0.00028875016141682863,44999.9921875,0.009304417297244072,0.0020743273198604584,-0.04961133375763893,0.013751324266195297,0.002074332209303975,-0.19515269994735718,1.739484190940857,-0.00028875016141682863
8,,7.4070000648498535,0.09970705956220627,-0.0002863929548766464,34015.6171875,0.009239356964826584,0.0020651663653552532,-0.09344783425331116,0.014115337282419205,0.002065167995169759,-0.2691360414028168,1.739771842956543,-0.0002863929548766464
9,,7.951000213623047,0.09971676766872406,-0.00028630346059799194,22999.998046875,0.00948233250528574,0.0020785443484783173,-0.1614849865436554,0.015233377926051617,0.002078547142446041,-0.38070476055145264,1.7400513887405396,-0.00028630346059799194
10,,8.494999885559082,0.099686399102211,-0.0002800878428388387,12015.625,0.009693695232272148,0.0019724881276488304,-0.3025648295879364,0.017425181344151497,0.0019724895246326923,-0.5904054641723633,1.7393949031829834,-0.0002800878428388387
11,,9.116000175476074,0.09967631101608276,-0.0002722760254982859,1001.6024780273438,0.010177620686590672,0.0007305684848688543,-0.6690938472747803,0.0342087559401989,0.0007305684848688543,-1.0409177541732788,1.7347055673599243,-0.0002722760254982859
