,time,total_time,Ec,I_avg,Ewe_avg,cycle
4659,97.2978975420483,97.2978975420483,0.6500234007835388,8.85653353179805e-05,0.6495080590248108,16
4660,97.31819754153548,97.31819754153548,0.6601813435554504,8.962997526396066e-05,0.6595637798309326,16
4661,97.33849754102266,97.33849754102266,0.6703392267227173,8.799990609986708e-05,0.6697976589202881,16
4662,97.35884754050858,97.35884754050858,0.6804971694946289,9.086780482903123e-05,0.6799933910369873,16
4663,97.37914753999576,97.37914753999576,0.6906551122665405,8.998528210213408e-05,0.6902019381523132,16
4664,97.39944753948294,97.39944753948294,0.7008129954338074,8.767516555963084e-05,0.7003085017204285,16
4665,97.41979753896885,97.41979753896885,0.710970938205719,8.962488209363073e-05,0.7101351618766785,16
4666,97.44009753845603,97.44009753845603,0.7211288809776306,8.867740689311177e-05,0.7206491231918335,16
4667,97.46039753794321,97.46039753794321,0.7312867641448975,8.790184801910073e-05,0.7308194041252136,16
4668,97.48069753743039,97.48069753743039,0.7414447069168091,8.853477629600093e-05,0.7410405874252319,16
4669,97.5010475369163,97.5010475369163,0.7516026496887207,8.69365394464694e-05,0.7509690523147583,16
4670,97.52134753640348,97.52134753640348,0.7617605328559875,8.787128899712116e-05,0.7613429427146912,16
4671,97.54164753589066,97.54164753589066,0.7719184756278992,8.905435970518738e-05,0.7713095545768738,16
4672,97.56199753537658,97.56199753537658,0.7820764183998108,8.595341205364093e-05,0.7816452980041504,16
4673,97.58229753486376,97.58229753486376,0.7922343015670776,8.42392910271883e-05,0.7914847135543823,16
4674,97.60259753435093,97.60259753435093,0.8023922443389893,8.285627700388432e-05,0.8017949461936951,16
4675,97.62294753383685,97.62294753383685,0.8125501871109009,8.08085169410333e-05,0.8118888735771179,16
4676,97.64324753332403,97.64324753332403,0.8227080702781677,8.044939022511244e-05,0.8222119212150574,16
4677,97.66354753281121,97.66354753281121,0.8328660130500793,7.636148802703246e-05,0.8322039842605591,16
4678,97.68389753229712,97.68389753229712,0.843023955821991,7.22506592865102e-05,0.8424506187438965,16
4679,97.7041975317843,97.7041975317843,0.8531818389892578,7.201379048638046e-05,0.8526591062545776,16
4680,97.72449753127148,97.72449753127148,0.8633397817611694,7.31166364857927e-05,0.8625493049621582,16
4681,97.7448475307574,97.7448475307574,0.873497724533081,7.145472773117945e-05,0.8731269240379333,16
4682,97.76514753024458,97.76514753024458,0.8836556077003479,7.045631355140358e-05,0.883131742477417,16
4683,97.78544752973175,97.78544752973175,0.8938135504722595,7.049324631225318e-05,0.8931111097335815,16
4684,97.80579752921767,97.80579752921767,0.9039714932441711,7.091859151842073e-05,0.9034850001335144,16
4685,97.82609752870485,97.82609752870485,0.914129376411438,7.612588524352759e-05,0.9135789275169373,16
4686,97.84639752819203,97.84639752819203,0.9242873191833496,7.564323459519073e-05,0.9238892793655396,16
4687,97.86674752767794,97.86674752767794,0.9344452619552612,7.560121593996882e-05,0.933677613735199,16
4688,97.88704752716512,97.88704752716512,0.9446031451225281,7.990305311977863e-05,0.9439625144004822,16
4689,97.9073475266523,97.9073475266523,0.9547610878944397,8.325488306581974e-05,0.9542727470397949,16
4690,97.92764752613948,97.92764752613948,0.9649190306663513,8.764842641539872e-05,0.9642776250839233,16
4691,97.9479975256254,97.9479975256254,0.9750769138336182,8.831446029944345e-05,0.9744350910186768,16
4692,97.96829752511258,97.96829752511258,0.9852348566055298,8.896012150216848e-05,0.9846944808959961,16
4693,97.98859752459975,97.98859752459975,0.9953927993774414,9.113395935855806e-05,0.9950175285339355,16
4694,98.00894752408567,98.00894752408567,1.005550742149353,9.72683701547794e-05,1.0051242113113403,16
4695,98.02924752357285,98.02924752357285,1.0157086849212646,9.721869719214737e-05,1.0152053833007812,16
4696,98.04954752306003,98.04954752306003,1.0258666276931763,9.627122199162841e-05,1.0254266262054443,16
4697,98.06989752254594,98.06989752254594,1.0360244512557983,9.847690671449527e-05,1.0352659225463867,16
4698,98.09019752203312,98.09019752203312,1.04618239402771,9.807321475818753e-05,1.0455379486083984,16
4699,98.1104975215203,98.1104975215203,1.0563403367996216,0.00010184020356973633,1.0556446313858032,16
4700,98.13084752100622,98.13084752100622,1.0664982795715332,0.00010132443276233971,1.0662732124328613,16
4701,98.1511475204934,98.1511475204934,1.0766562223434448,9.745938587002456e-05,1.0760869979858398,16
4702,98.17144751998057,98.17144751998057,1.0868141651153564,0.00010127986752195284,1.0863591432571411,16
4703,98.19179751946649,98.19179751946649,1.0969719886779785,0.00010494879097677767,1.096134901046753,16
4704,98.21209751895367,98.21209751895367,1.1071299314498901,0.0001037466136040166,1.1067124605178833,16
4705,98.23239751844085,98.23239751844085,1.1172878742218018,0.0001022553478833288,1.1167173385620117,16
4706,98.25274751792676,98.25274751792676,1.1274458169937134,0.00010168101289309561,1.1270021200180054,16
4707,98.27304751741394,98.27304751741394,1.137603759765625,0.00010233049397356808,1.1370705366134644,16
4708,98.3136475163883,98.3136475163883,1.1579195261001587,0.00011875951895490289,1.1574110984802246,16
4709,98.33399751587422,98.33399751587422,1.1680774688720703,0.00011332047142786905,1.1674668788909912,16
4710,98.3542975153614,98.3542975153614,1.178235411643982,0.00011335868475725874,1.1777135133743286,16
4711,98.37459751484857,98.37459751484857,1.1883933544158936,0.00012458070705179125,1.1877691745758057,16
4712,98.39494751433449,98.39494751433449,1.1985512971878052,0.00012133255950175226,1.1979776620864868,16
4713,98.41524751382167,98.41524751382167,1.2087092399597168,0.0001235616800840944,1.208275318145752,16
4714,98.43554751330885,98.43554751330885,1.2188670635223389,0.00012571437400765717,1.2182164192199707,16
4715,98.45589751279476,98.45589751279476,1.2290250062942505,0.0001252685469808057,1.228386640548706,16
4716,98.47619751228194,98.47619751228194,1.239182949066162,0.0001365670032100752,1.2387607097625732,16
4717,98.49649751176912,98.49649751176912,1.2493408918380737,0.0001368981902487576,1.2486000061035156,16
4718,98.51684751125504,98.51684751125504,1.2594988346099854,0.00014214616385288537,1.2590502500534058,16
4719,98.53714751074222,98.53714751074222,1.269656777381897,0.00014730499242432415,1.269233226776123,16
4720,98.5574475102294,98.5574475102294,1.279814600944519,0.00015819582040421665,1.2793781757354736,16
4721,98.57779750971531,98.57779750971531,1.2899725437164307,0.0001693923695711419,1.2896374464035034,16
4722,98.59809750920249,98.59809750920249,1.3001304864883423,0.00016302346193697304,1.299527645111084,16
4723,98.61839750868967,98.61839750868967,1.310288429260254,0.00016969807620625943,1.3098762035369873,16
4724,98.63874750817558,98.63874750817558,1.3204463720321655,0.0001690993958618492,1.3200592994689941,16
4725,98.65904750766276,98.65904750766276,1.3306043148040771,0.00019139060168527067,1.3301149606704712,16
4726,98.67934750714994,98.67934750714994,1.3407621383666992,0.00020837009651586413,1.3402724266052246,16
4727,98.69969750663586,98.69969750663586,1.3509200811386108,0.00021735025802627206,1.350519061088562,16
4728,98.71999750612304,98.71999750612304,1.3610780239105225,0.00025482496130280197,1.3606131076812744,16
4729,98.74029750561022,98.74029750561022,1.371235966682434,0.00032335444120690227,1.370732307434082,16
4730,98.7605975050974,98.7605975050974,1.3813939094543457,0.00046406916226260364,1.3807371854782104,16
4731,98.78094750458331,98.78094750458331,1.3915518522262573,0.0006542957853525877,1.3917474746704102,16
4732,98.80124750407049,98.80124750407049,1.4017096757888794,0.0008651832467876375,1.4011542797088623,16
4733,98.86219750253076,98.86219750253076,1.4321835041046143,0.001622934709303081,1.4329378604888916,16
