,time,total_time,Ewe,I,freq,Ewe_mod,I_mod,phase_Zwe,Ece_mod,Ice_mod,phase_Zce,Ece,I_range
0,1.0000080353711382,1.0000080353711382,0.0996813178062439,-4.209370672469959e-05,,,,,,,,,
1,2.0000160707422765,2.0000160707422765,0.09960494935512543,-2.161128941224888e-05,,,,,,,,,
2,,4.006999969482422,0.09840872883796692,1.5995598005247302e-05,100015.6171875,0.00969864334911108,0.001573439803905785,0.20650732517242432,0.024308739230036736,0.0015735230408608913,-0.0386001281440258,1.6620291471481323,1.5995598005247302e-05
3,,4.551000118255615,0.09840772300958633,1.4181076039676555e-05,88999.9921875,0.008989705704152584,0.0015031785005703568,0.25872349739074707,0.023351894691586494,0.0015032418305054307,-0.054245807230472565,1.6619048118591309,1.4181076039676555e-05
4,,5.09499979019165,0.09842230379581451,1.5115379028429743e-05,78015.6171875,0.008917499333620071,0.0015738866059109569,0.2958553433418274,0.02475724369287491,0.0015739417867735028,-0.0675930604338646,1.6623438596725464,1.5115379028429743e-05
5,,5.638999938964844,0.0984322801232338,1.0151111382583622e-05,66999.9921875,0.009156661108136177,0.0017438222421333194,0.31584230065345764,0.027569405734539032,0.0017438676441088319,-0.08417893201112747,1.6627823114395142,1.0151111382583622e-05
6,,6.183000087738037,0.0984334796667099,1.2144670108682476e-05,56015.62109375,0.009149836376309395,0.0018931912491098046,0.3016994297504425,0.030266031622886658,0.001893228036351502,-0.10545290261507034,1.6626249551773071,1.2144670108682476e-05
7,,6.7270002365112305,0.09844464808702469,1.1292443559796084e-05,44999.9921875,0.00964278168976307,0.002140454947948456,0.26473674178123474,0.03477082401514053,0.002140485215932131,-0.1269397884607315,1.6631487607955933,1.1292443559796084e-05
8,,7.270999908447266,0.09841984510421753,1.5201204405457247e-05,34015.6171875,0.009380201809108257,0.0022445833310484886,0.1800367385149002,0.03704178333282471,0.0022445993963629007,-0.1631210893392563,1.6635311841964722,1.5201204405457247e-05
9,,7.815000057220459,0.09840381145477295,1.697097104624845e-05,22999.998046875,0.009739247150719166,0.002396945608779788,0.06708506494760513,0.041105449199676514,0.002396956318989396,-0.21555043756961823,1.6630479097366333,1.697097104624845e-05
10,,8.359000205993652,0.098436139523983,9.931100066751242e-06,12015.625,0.010255102068185806,0.0023972452618181705,-0.0992860496044159,0.044958095997571945,0.002397248987108469,-0.323670893907547,1.6632499694824219,9.931100066751242e-06
11,,8.979999542236328,0.09834188967943192,1.8818995158653706e-05,1001.6024780273438,0.009863889776170254,0.0014688594965264201,-0.49613070487976074,0.06969881057739258,0.0014688594965264201,-0.8998053073883057,1.6494766473770142,1.8818995158653706e-05
