,time,total_time,Ewe,I,freq,Ewe_mod,I_mod,phase_Zwe,Ece_mod,Ice_mod,phase_Zce,Ece,I_range
0,1.0000080353711382,1.0000080353711382,0.10022738575935364,-0.00021137935982551426,,,,,,,,,
1,2.0000160707422765,2.0000160707422765,0.10053287446498871,-0.00021199077309574932,,,,,,,,,
2,,4.006999969482422,0.0996730625629425,-0.00016029441030696034,100015.6171875,0.009962446987628937,0.0015848432667553425,0.21046777069568634,0.024726510047912598,0.001584926969371736,-0.04438305273652077,1.7125637531280518,-0.00016029441030696034
3,,4.551000118255615,0.09967183321714401,-0.0001541552774142474,88999.9921875,0.008499477058649063,0.0014070513425394893,0.25825047492980957,0.022012503817677498,0.001407110714353621,-0.06354968994855881,1.7139520645141602,-0.0001541552774142474
4,,5.09499979019165,0.09972536563873291,-0.0001584631099831313,78015.6171875,0.008414190262556076,0.001470695249736309,0.2981080114841461,0.02326595038175583,0.0014707455411553383,-0.07864497601985931,1.7152882814407349,-0.0001584631099831313
5,,5.638999938964844,0.09972624480724335,-0.00015476506086997688,66999.9921875,0.009385249577462673,0.0017667938955128193,0.3033318519592285,0.028064928948879242,0.0017668401123955846,-0.09772945195436478,1.7160216569900513,-0.00015476506086997688
6,,6.183000087738037,0.09965624660253525,-0.0001526782725704834,56015.62109375,0.009023454040288925,0.0018484722822904587,0.29654818773269653,0.02969365380704403,0.0018485098844394088,-0.11560802161693573,1.7172811031341553,-0.0001526782725704834
7,,6.7270002365112305,0.09979099780321121,-0.00015624948719050735,44999.9921875,0.009463312104344368,0.0020740865729749203,0.26006585359573364,0.03390626236796379,0.002074113115668297,-0.14066049456596375,1.7182414531707764,-0.00015624948719050735
8,,7.270999908447266,0.09968999773263931,-0.0001517458149464801,34015.6171875,0.009450361132621765,0.0022076836321502924,0.17671330273151398,0.03677348420023918,0.002207702025771141,-0.17953389883041382,1.7190139293670654,-0.0001517458149464801
9,,7.815000057220459,0.09966741502285004,-0.00015322837862186134,22999.998046875,0.009762069210410118,0.0023411980364471674,0.060814302414655685,0.04069675877690315,0.002341205021366477,-0.23855584859848022,1.7198402881622314,-0.00015322837862186134
10,,8.359000205993652,0.09966187924146652,-0.00015057653945405036,12015.625,0.010276749730110168,0.0023333202116191387,-0.09808100014925003,0.0448208786547184,0.002333322074264288,-0.35907572507858276,1.7199475765228271,-0.00015057653945405036
11,,8.979999542236328,0.09965690225362778,-0.00014973554061725736,1001.6024780273438,0.009854813106358051,0.0014532479690387845,-0.48684218525886536,0.07844503223896027,0.0014532482018694282,-0.8851783871650696,1.6993204355239868,-0.00014973554061725736
