,time,total_time,Ewe,I,freq,Ewe_mod,I_mod,phase_Zwe,Ece_mod,Ice_mod,phase_Zce,Ece,I_range
0,1.0000080353711382,1.0000080353711382,0.09961487352848053,-6.005403702147305e-05,,,,,,,,,
1,2.0000160707422765,2.0000160707422765,0.09900389611721039,-5.800060898764059e-05,,,,,,,,,
2,,4.164999961853027,0.09911787509918213,1.800032077881042e-05,100015.6171875,0.008793506771326065,0.0014523436548188329,-0.018416186794638634,0.010624408721923828,0.0014523545978590846,0.074188232421875,1.389237642288208,1.800032077881042e-05
3,,4.709000110626221,0.09913112968206406,2.091511123580858e-05,88999.9921875,0.009017327800393105,0.0015126279322430491,-0.01373966597020626,0.011053922586143017,0.001512637478299439,0.05555999279022217,1.3885926008224487,2.091511123580858e-05
4,,5.252999782562256,0.09912481158971786,1.7090269466280006e-05,78015.6171875,0.009147794917225838,0.0015535770216956735,-0.027541281655430794,0.011381972581148148,0.0015535838901996613,0.03441561013460159,1.387987494468689,1.7090269466280006e-05
5,,5.796999931335449,0.09912596642971039,2.7222091375733726e-05,66999.9921875,0.009161308407783508,0.0015818459214642644,-0.03421135991811752,0.011616786010563374,0.0015818518586456776,0.018451809883117676,1.387522578239441,2.7222091375733726e-05
6,,6.341000080108643,0.09913323819637299,2.0530951587716118e-05,56015.62109375,0.009229885414242744,0.0016114446334540844,-0.06262322515249252,0.011842903681099415,0.001611448242329061,-0.004145453684031963,1.3871142864227295,2.0530951587716118e-05
7,,6.885000228881836,0.09912730753421783,2.2248492314247414e-05,44999.9921875,0.009261829778552055,0.001621049945242703,-0.0881984680891037,0.011956311762332916,0.0016210521571338177,-0.021395526826381683,1.3867450952529907,2.2248492314247414e-05
8,,7.428999900817871,0.09912292659282684,2.1192978238104843e-05,34015.6171875,0.009386993013322353,0.001624087686650455,-0.1444893330335617,0.01214102003723383,0.0016240900149568915,-0.05158520117402077,1.3863598108291626,2.1192978238104843e-05
9,,7.9730000495910645,0.09913621842861176,2.918206519098021e-05,22999.998046875,0.009531290270388126,0.0016037699533626437,-0.22388741374015808,0.012136809527873993,0.001603771816007793,-0.09220680594444275,1.3860704898834229,2.918206519098021e-05
10,,8.380999565124512,0.09910737723112106,2.8449167075450532e-05,12015.625,0.009397980757057667,0.0014088762691244483,-0.3708581328392029,0.011230760253965855,0.0014088760362938046,-0.15971310436725616,1.3858007192611694,2.8449167075450532e-05
11,,9.001999855041504,0.09915671497583389,2.483687421772629e-05,1001.6024780273438,0.01039484329521656,0.0005250965477898717,-0.6888440251350403,0.006954676005989313,0.0005250966642051935,-0.5655484795570374,1.385425090789795,2.483687421772629e-05
